,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
36,20200316,56,6182,36104.0,1691.0,,,,,,,,eec53adbbabe91c32f98e286b156b107e23740b5,2020-03-16T20:00:00Z,97,,43977,42286,42286,21.0,0.0,13480.0,1280.0,14760.0
37,20200315,51,4902,22624.0,2242.0,,,,,,,,b3ba00de27b8ad79294053003f51c724f45e8e82,2020-03-15T20:00:00Z,76,,29768,27526,27526,13.0,0.0,5522.0,1056.0,6578.0
38,20200314,51,3846,17102.0,1236.0,,,,,,,,d26500e1e44f93e9530f91a751a6c2fce2ec3856,2020-03-14T20:00:00Z,63,,22184,20948,20948,8.0,0.0,3489.0,751.0,4240.0
39,20200313,51,3095,13613.0,1130.0,,,,,,,,4fa7df83c08a76fbb978b626babf444fe3f9fc38,2020-03-13T20:00:00Z,55,,17838,16708,16708,4.0,0.0,5572.0,874.0,6446.0
40,20200312,51,2221,8041.0,673.0,,,,,,,,a09e368f11008925ddf306f3d80fd28a9e78e231,2020-03-12T20:00:00Z,51,,10935,10262,10262,8.0,0.0,1935.0,464.0,2399.0
41,20200311,51,1757,6106.0,563.0,,,,,,,,c983eaf1f5557763f5aa336a3c228ef91fd5e8b5,2020-03-11T20:00:00Z,43,,8426,7863,7863,6.0,0.0,2294.0,392.0,2686.0
42,20200310,51,1365,3812.0,469.0,,,,,,,,9d292c7d726064f220575190e75bc16d554e1c5e,2020-03-10T20:00:00Z,37,,5646,5177,5177,2.0,0.0,468.0,317.0,785.0
43,20200309,51,1048,3344.0,313.0,,,,,,,,864257af09b3ab892ea30784b03fb8e146813fe3,2020-03-09T20:00:00Z,35,,4705,4392,4392,4.0,0.0,1009.0,317.0,1326.0
44,20200308,51,731,2335.0,347.0,,,,,,,,b824c409750148b3d403801cce72744e637f8611,2020-03-08T20:00:00Z,31,,3413,3066,3066,4.0,0.0,496.0,181.0,677.0
45,20200307,51,550,1839.0,602.0,,,,,,,,6d22e33c87ce6d5ec8869e1cc5fefb61b3b2263c,2020-03-07T21:00:00Z,27,,2991,2389,2389,1.0,0.0,251.0,156.0,407.0
46,20200306,37,394,1588.0,458.0,,,,,,,,ea667c1aa458c1f53bedad18a3829e12319ec4fe,2020-03-06T21:00:00Z,26,,2440,1982,1982,6.0,0.0,618.0,118.0,736.0
47,20200305,25,276,970.0,197.0,,,,,,,,06a56b8475204684dd5e5f5cf8290efe82eac39c,2020-03-05T21:00:00Z,20,,1443,1246,1246,4.0,0.0,211.0,67.0,278.0
48,20200304,16,209,759.0,103.0,,,,,,,,469fa0e70ed7d25e9989fc688df5f75ebb22cb54,2020-03-04T21:00:00Z,16,,1071,968,968,2.0,0.0,753.0,115.0,868.0
49,20200303,3,94,6.0,,,,,,,,,86770db4d6896557717aeae87fff9e3b90548964,2020-03-03T21:00:00Z,14,,100,100,100,3.0,0.0,6.0,41.0,47.0
50,20200302,3,53,,,,,,,,,,6513d03460ba39e3593914dcf26e9686a6102c3a,2020-03-02T21:00:00Z,11,,53,53,53,3.0,0.0,0.0,13.0,13.0
51,20200301,3,40,,,,,,,,,,ca260a1247d2b0574d24373499373db27272de6e,2020-03-01T21:00:00Z,8,,40,40,40,3.0,0.0,0.0,22.0,22.0
52,20200229,1,18,,,,,,,,,,243260e18d47e670dade08ee5a5195fcc8b5a9db,2020-02-29T21:00:00Z,5,,18,18,18,1.0,0.0,0.0,9.0,9.0
53,20200228,1,9,,,,,,,,,,7de1cbe8b7b0a50a3afdd4b9c4d69ff78318681e,2020-02-28T21:00:00Z,4,,9,9,9,,,,,
